order_id,order_date,store_id,product_id,product_name,category,quantity,unit_price,discount_amount,sales_amount,payment_method,customer_type
ORD20250801000018,2025-08-01,S003,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Member
ORD20250801000019,2025-08-01,S003,P004,Strawberry Ade,Beverage,1,6500,0,6500,Credit Card,Member
ORD20250801000020,2025-08-01,S003,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000021,2025-08-01,S003,P009,Tiramisu,Dessert,1,7200,0,7200,Cash,Guest
ORD20250801000022,2025-08-01,S003,P005,Butter Croissant,Bakery,1,4200,0,4200,Mobile Pay,Guest
ORD20250801000023,2025-08-01,S003,P009,Tiramisu,Dessert,1,7200,0,7200,Credit Card,Guest
ORD20250801000024,2025-08-01,S003,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Guest
ORD20250801000025,2025-08-01,S003,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Member
ORD20250801000026,2025-08-01,S003,P001,Americano,Beverage,2,4500,0,9000,Credit Card,Guest
ORD20250801000027,2025-08-01,S004,P005,Butter Croissant,Bakery,1,4200,0,4200,Mobile Pay,Member
ORD20250801000028,2025-08-01,S004,P008,Basque Cheesecake,Dessert,1,6900,0,6900,Credit Card,Guest
ORD20250801000029,2025-08-01,S004,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Guest
ORD20250801000030,2025-08-01,S004,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250801000031,2025-08-01,S004,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Guest
ORD20250801000032,2025-08-01,S004,P007,Red Bean Bun,Bakery,1,3500,0,3500,Credit Card,Guest
ORD20250801000033,2025-08-01,S004,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Member
ORD20250801000034,2025-08-01,S004,P007,Red Bean Bun,Bakery,1,3500,350,3150,Mobile Pay,Member
ORD20250801000035,2025-08-01,S004,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250801000036,2025-08-01,S004,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250801000037,2025-08-01,S004,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Member
ORD20250801000038,2025-08-01,S004,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250801000039,2025-08-01,S004,P004,Strawberry Ade,Beverage,1,6500,0,6500,Mobile Pay,Member
ORD20250801000040,2025-08-01,S004,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250801000041,2025-08-01,S005,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Member
ORD20250801000042,2025-08-01,S005,P009,Tiramisu,Dessert,1,7200,0,7200,Mobile Pay,Guest
ORD20250801000043,2025-08-01,S005,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Guest
ORD20250801000044,2025-08-01,S005,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Guest
ORD20250801000045,2025-08-01,S005,P005,Butter Croissant,Bakery,1,4200,0,4200,Credit Card,Member
ORD20250801000046,2025-08-01,S005,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250801000047,2025-08-01,S005,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Guest
ORD20250801000048,2025-08-01,S005,P005,Butter Croissant,Bakery,1,4200,420,3780,Credit Card,Member
ORD20250801000049,2025-08-01,S005,P004,Strawberry Ade,Beverage,1,6500,0,6500,Credit Card,Guest
ORD20250801000050,2025-08-01,S005,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250801000051,2025-08-01,S006,P001,Americano,Beverage,2,4500,900,8100,Credit Card,Member
ORD20250801000052,2025-08-01,S006,P007,Red Bean Bun,Bakery,1,3500,350,3150,Mobile Pay,Member
ORD20250801000053,2025-08-01,S006,P001,Americano,Beverage,1,4500,450,4050,Mobile Pay,Member
ORD20250801000054,2025-08-01,S006,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250801000055,2025-08-01,S006,P003,Cold Brew,Beverage,1,5800,0,5800,Cash,Guest
ORD20250801000056,2025-08-01,S006,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250801000057,2025-08-01,S006,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Member
ORD20250801000058,2025-08-01,S007,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000059,2025-08-01,S007,P005,Butter Croissant,Bakery,1,4200,0,4200,Cash,Member
ORD20250801000060,2025-08-01,S007,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Guest
ORD20250801000061,2025-08-01,S007,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250801000062,2025-08-01,S007,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250801000063,2025-08-01,S008,P004,Strawberry Ade,Beverage,1,6500,0,6500,Credit Card,Member
ORD20250801000064,2025-08-01,S008,P005,Butter Croissant,Bakery,1,4200,0,4200,Cash,Guest
ORD20250801000065,2025-08-01,S008,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250801000066,2025-08-01,S008,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Guest
ORD20250801000067,2025-08-01,S008,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Guest
ORD20250801000068,2025-08-01,S009,P008,Basque Cheesecake,Dessert,1,6900,0,6900,Credit Card,Guest
ORD20250801000069,2025-08-01,S009,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000070,2025-08-01,S009,P006,Salt Bread,Bakery,1,3800,380,3420,Credit Card,Member
ORD20250801000071,2025-08-01,S009,P003,Cold Brew,Beverage,2,5800,0,11600,Mobile Pay,Member
ORD20250801000072,2025-08-01,S009,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Member
ORD20250801000073,2025-08-01,S009,P004,Strawberry Ade,Beverage,1,6500,650,5850,Credit Card,Member
ORD20250801000074,2025-08-01,S009,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250801000075,2025-08-01,S009,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Member
ORD20250801000076,2025-08-01,S009,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Guest
ORD20250801000077,2025-08-01,S009,P004,Strawberry Ade,Beverage,1,6500,0,6500,Credit Card,Guest
ORD20250801000078,2025-08-01,S009,P007,Red Bean Bun,Bakery,2,3500,0,7000,Mobile Pay,Guest
ORD20250801000079,2025-08-01,S010,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250801000080,2025-08-01,S010,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250801000081,2025-08-01,S010,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Member
ORD20250801000082,2025-08-01,S010,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Guest
ORD20250801000083,2025-08-01,S010,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250801000084,2025-08-01,S010,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Guest
ORD20250801000085,2025-08-01,S010,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250801000086,2025-08-01,S010,P001,Americano,Beverage,2,4500,900,8100,Mobile Pay,Member
ORD20250801000087,2025-08-01,S010,P006,Salt Bread,Bakery,2,3800,0,7600,Mobile Pay,Member
ORD20250801000088,2025-08-01,S010,P006,Salt Bread,Bakery,2,3800,0,7600,Credit Card,Member
ORD20250801000089,2025-08-01,S010,P009,Tiramisu,Dessert,1,7200,0,7200,Mobile Pay,Member
ORD20250801000090,2025-08-01,S010,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Member
ORD20250801000091,2025-08-01,S010,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250801000092,2025-08-01,S011,P008,Basque Cheesecake,Dessert,1,6900,690,6210,Credit Card,Member
ORD20250801000093,2025-08-01,S011,P002,Cafe Latte,Beverage,2,5200,1040,9360,Credit Card,Member
ORD20250801000094,2025-08-01,S011,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250801000095,2025-08-01,S011,P009,Tiramisu,Dessert,1,7200,0,7200,Mobile Pay,Member
ORD20250801000096,2025-08-01,S011,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250801000097,2025-08-01,S011,P002,Cafe Latte,Beverage,2,5200,1040,9360,Mobile Pay,Member
ORD20250801000098,2025-08-01,S011,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Member
ORD20250801000099,2025-08-01,S012,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250801000100,2025-08-01,S012,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Member
ORD20250801000101,2025-08-01,S012,P008,Basque Cheesecake,Dessert,1,6900,690,6210,Mobile Pay,Member
ORD20250801000102,2025-08-01,S012,P001,Americano,Beverage,2,4500,900,8100,Mobile Pay,Member
ORD20250801000103,2025-08-01,S012,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000104,2025-08-01,S012,P001,Americano,Beverage,2,4500,0,9000,Mobile Pay,Guest
ORD20250801000105,2025-08-01,S012,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250801000106,2025-08-01,S012,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250801000107,2025-08-01,S012,P003,Cold Brew,Beverage,1,5800,0,5800,Cash,Member
ORD20250801000108,2025-08-01,S012,P002,Cafe Latte,Beverage,1,5200,520,4680,Credit Card,Member
ORD20250801000109,2025-08-01,S012,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Member
ORD20250802000110,2025-08-02,S001,P001,Americano,Beverage,1,4500,0,4500,Cash,Guest
ORD20250802000111,2025-08-02,S001,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250802000112,2025-08-02,S001,P004,Strawberry Ade,Beverage,2,6500,0,13000,Mobile Pay,Member
ORD20250802000113,2025-08-02,S001,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250802000114,2025-08-02,S001,P004,Strawberry Ade,Beverage,1,6500,0,6500,Mobile Pay,Guest
ORD20250802000115,2025-08-02,S001,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Member
ORD20250802000116,2025-08-02,S001,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250802000117,2025-08-02,S001,P009,Tiramisu,Dessert,1,7200,720,6480,Mobile Pay,Member
ORD20250802000118,2025-08-02,S001,P002,Cafe Latte,Beverage,2,5200,1040,9360,Credit Card,Member
ORD20250802000119,2025-08-02,S001,P004,Strawberry Ade,Beverage,1,6500,0,6500,Credit Card,Member
ORD20250802000120,2025-08-02,S001,P008,Basque Cheesecake,Dessert,1,6900,0,6900,Mobile Pay,Member
ORD20250802000121,2025-08-02,S001,P004,Strawberry Ade,Beverage,1,6500,0,6500,Mobile Pay,Guest
ORD20250802000122,2025-08-02,S001,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250802000123,2025-08-02,S001,P002,Cafe Latte,Beverage,2,5200,0,10400,Credit Card,Member
ORD20250802000124,2025-08-02,S001,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Member
ORD20250802000125,2025-08-02,S001,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Member
ORD20250802000126,2025-08-02,S002,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250802000127,2025-08-02,S002,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250802000128,2025-08-02,S002,P001,Americano,Beverage,2,4500,0,9000,Mobile Pay,Member
ORD20250802000129,2025-08-02,S002,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Member
ORD20250802000130,2025-08-02,S002,P008,Basque Cheesecake,Dessert,1,6900,690,6210,Credit Card,Member
ORD20250802000131,2025-08-02,S002,P008,Basque Cheesecake,Dessert,1,6900,0,6900,Mobile Pay,Member
ORD20250802000132,2025-08-02,S002,P006,Salt Bread,Bakery,1,3800,380,3420,Mobile Pay,Member
ORD20250802000133,2025-08-02,S002,P002,Cafe Latte,Beverage,1,5200,520,4680,Mobile Pay,Member
ORD20250802000134,2025-08-02,S002,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Member
ORD20250802000135,2025-08-02,S002,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Member
ORD20250802000136,2025-08-02,S002,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Member
ORD20250802000137,2025-08-02,S002,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Guest
ORD20250802000138,2025-08-02,S002,P002,Cafe Latte,Beverage,2,5200,0,10400,Mobile Pay,Member
ORD20250802000139,2025-08-02,S002,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250802000140,2025-08-02,S003,P006,Salt Bread,Bakery,1,3800,380,3420,Credit Card,Member
ORD20250802000141,2025-08-02,S003,P006,Salt Bread,Bakery,1,3800,0,3800,Cash,Member
ORD20250802000142,2025-08-02,S003,P001,Americano,Beverage,1,4500,450,4050,Mobile Pay,Member
ORD20250802000143,2025-08-02,S003,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Member
ORD20250802000144,2025-08-02,S003,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250802000145,2025-08-02,S003,P004,Strawberry Ade,Beverage,1,6500,650,5850,Mobile Pay,Member
ORD20250802000146,2025-08-02,S003,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Member
ORD20250802000147,2025-08-02,S003,P001,Americano,Beverage,2,4500,0,9000,Credit Card,Guest
ORD20250802000148,2025-08-02,S003,P004,Strawberry Ade,Beverage,1,6500,0,6500,Mobile Pay,Member
ORD20250802000149,2025-08-02,S003,P007,Red Bean Bun,Bakery,1,3500,0,3500,Credit Card,Member
ORD20250802000150,2025-08-02,S003,P002,Cafe Latte,Beverage,2,5200,0,10400,Mobile Pay,Guest
ORD20250802000151,2025-08-02,S003,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250802000152,2025-08-02,S003,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Guest
ORD20250802000153,2025-08-02,S003,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250802000154,2025-08-02,S004,P006,Salt Bread,Bakery,2,3800,0,7600,Credit Card,Guest
ORD20250802000155,2025-08-02,S004,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Member
ORD20250802000156,2025-08-02,S004,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250802000157,2025-08-02,S004,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Member
ORD20250802000158,2025-08-02,S004,P002,Cafe Latte,Beverage,1,5200,520,4680,Mobile Pay,Member
ORD20250802000159,2025-08-02,S004,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250802000160,2025-08-02,S004,P001,Americano,Beverage,1,4500,0,4500,Cash,Guest
ORD20250802000161,2025-08-02,S004,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Guest
ORD20250802000162,2025-08-02,S004,P003,Cold Brew,Beverage,2,5800,0,11600,Mobile Pay,Guest
ORD20250802000163,2025-08-02,S004,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250802000164,2025-08-02,S004,P003,Cold Brew,Beverage,2,5800,0,11600,Credit Card,Member
ORD20250802000165,2025-08-02,S004,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Guest
ORD20250802000166,2025-08-02,S004,P003,Cold Brew,Beverage,2,5800,0,11600,Credit Card,Guest
ORD20250802000167,2025-08-02,S004,P008,Basque Cheesecake,Dessert,1,6900,0,6900,Credit Card,Guest
ORD20250802000168,2025-08-02,S004,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250802000169,2025-08-02,S004,P007,Red Bean Bun,Bakery,1,3500,0,3500,Mobile Pay,Member
ORD20250802000170,2025-08-02,S005,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250802000171,2025-08-02,S005,P004,Strawberry Ade,Beverage,1,6500,0,6500,Mobile Pay,Member
ORD20250802000172,2025-08-02,S005,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250802000173,2025-08-02,S005,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Guest
ORD20250802000174,2025-08-02,S005,P007,Red Bean Bun,Bakery,2,3500,0,7000,Credit Card,Guest
ORD20250802000175,2025-08-02,S006,P009,Tiramisu,Dessert,2,7200,0,14400,Mobile Pay,Member
ORD20250802000176,2025-08-02,S006,P003,Cold Brew,Beverage,2,5800,1160,10440,Mobile Pay,Member
ORD20250802000177,2025-08-02,S006,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250802000178,2025-08-02,S006,P004,Strawberry Ade,Beverage,1,6500,650,5850,Mobile Pay,Member
ORD20250802000179,2025-08-02,S006,P008,Basque Cheesecake,Dessert,1,6900,0,6900,Mobile Pay,Member
ORD20250802000180,2025-08-02,S006,P007,Red Bean Bun,Bakery,1,3500,0,3500,Credit Card,Member
ORD20250802000181,2025-08-02,S006,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250802000182,2025-08-02,S006,P002,Cafe Latte,Beverage,2,5200,0,10400,Credit Card,Member
ORD20250802000183,2025-08-02,S006,P007,Red Bean Bun,Bakery,1,3500,350,3150,Cash,Member
ORD20250802000184,2025-08-02,S006,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250802000185,2025-08-02,S007,P006,Salt Bread,Bakery,1,3800,380,3420,Credit Card,Member
ORD20250802000186,2025-08-02,S007,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250802000187,2025-08-02,S007,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250802000188,2025-08-02,S007,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250802000189,2025-08-02,S007,P003,Cold Brew,Beverage,1,5800,0,5800,Cash,Member
ORD20250802000190,2025-08-02,S007,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250802000191,2025-08-02,S007,P007,Red Bean Bun,Bakery,1,3500,0,3500,Mobile Pay,Guest
ORD20250802000192,2025-08-02,S007,P008,Basque Cheesecake,Dessert,2,6900,0,13800,Credit Card,Guest
ORD20250802000193,2025-08-02,S007,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Guest
ORD20250802000194,2025-08-02,S007,P005,Butter Croissant,Bakery,1,4200,0,4200,Mobile Pay,Member
ORD20250802000195,2025-08-02,S008,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250802000196,2025-08-02,S008,P001,Americano,Beverage,2,4500,0,9000,Credit Card,Member
ORD20250802000197,2025-08-02,S008,P001,Americano,Beverage,1,4500,450,4050,Mobile Pay,Member
ORD20250802000198,2025-08-02,S008,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250802000199,2025-08-02,S008,P002,Cafe Latte,Beverage,1,5200,520,4680,Mobile Pay,Member
ORD20250802000200,2025-08-02,S008,P006,Salt Bread,Bakery,1,3800,380,3420,Mobile Pay,Member
ORD20250802000201,2025-08-02,S008,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Member
ORD20250802000202,2025-08-02,S008,P003,Cold Brew,Beverage,2,5800,0,11600,Mobile Pay,Member
ORD20250802000203,2025-08-02,S008,P006,Salt Bread,Bakery,1,3800,0,3800,Cash,Member
ORD20250802000204,2025-08-02,S008,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Guest
ORD20250802000205,2025-08-02,S008,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Member
ORD20250802000206,2025-08-02,S009,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Member
ORD20250802000207,2025-08-02,S009,P004,Strawberry Ade,Beverage,2,6500,0,13000,Cash,Guest
ORD20250802000208,2025-08-02,S009,P005,Butter Croissant,Bakery,2,4200,0,8400,Cash,Member
ORD20250802000209,2025-08-02,S009,P004,Strawberry Ade,Beverage,1,6500,0,6500,Mobile Pay,Guest
ORD20250802000210,2025-08-02,S009,P009,Tiramisu,Dessert,1,7200,0,7200,Mobile Pay,Guest
ORD20250802000211,2025-08-02,S009,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Member
ORD20250802000212,2025-08-02,S009,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Guest
ORD20250802000213,2025-08-02,S009,P007,Red Bean Bun,Bakery,1,3500,0,3500,Credit Card,Member
ORD20250802000214,2025-08-02,S009,P008,Basque Cheesecake,Dessert,1,6900,690,6210,Mobile Pay,Member
ORD20250802000215,2025-08-02,S009,P004,Strawberry Ade,Beverage,1,6500,650,5850,Mobile Pay,Member
ORD20250802000216,2025-08-02,S009,P001,Americano,Beverage,1,4500,450,4050,Mobile Pay,Member
ORD20250802000217,2025-08-02,S009,P001,Americano,Beverage,1,4500,0,4500,Cash,Guest
ORD20250802000218,2025-08-02,S009,P002,Cafe Latte,Beverage,2,5200,0,10400,Credit Card,Member
ORD20250802000219,2025-08-02,S009,P005,Butter Croissant,Bakery,1,4200,0,4200,Cash,Guest
ORD20250802000220,2025-08-02,S010,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250802000221,2025-08-02,S010,P002,Cafe Latte,Beverage,1,5200,520,4680,Mobile Pay,Member
ORD20250802000222,2025-08-02,S010,P003,Cold Brew,Beverage,2,5800,0,11600,Credit Card,Guest
ORD20250802000223,2025-08-02,S010,P009,Tiramisu,Dessert,2,7200,0,14400,Credit Card,Guest
ORD20250802000224,2025-08-02,S010,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250802000225,2025-08-02,S010,P005,Butter Croissant,Bakery,1,4200,0,4200,Mobile Pay,Guest
ORD20250802000226,2025-08-02,S010,P002,Cafe Latte,Beverage,2,5200,0,10400,Credit Card,Member
ORD20250802000227,2025-08-02,S010,P003,Cold Brew,Beverage,1,5800,0,5800,Mobile Pay,Guest
ORD20250802000228,2025-08-02,S010,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Guest
ORD20250802000229,2025-08-02,S010,P002,Cafe Latte,Beverage,1,5200,520,4680,Credit Card,Member
ORD20250802000230,2025-08-02,S010,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Guest
ORD20250802000231,2025-08-02,S011,P002,Cafe Latte,Beverage,1,5200,520,4680,Mobile Pay,Member
ORD20250802000232,2025-08-02,S011,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Member
ORD20250802000233,2025-08-02,S011,P002,Cafe Latte,Beverage,1,5200,0,5200,Credit Card,Member
ORD20250802000234,2025-08-02,S011,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Guest
ORD20250802000235,2025-08-02,S011,P009,Tiramisu,Dessert,2,7200,0,14400,Credit Card,Guest
ORD20250802000236,2025-08-02,S011,P002,Cafe Latte,Beverage,1,5200,520,4680,Credit Card,Member
ORD20250802000237,2025-08-02,S011,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Guest
ORD20250802000238,2025-08-02,S012,P001,Americano,Beverage,1,4500,0,4500,Mobile Pay,Guest
ORD20250802000239,2025-08-02,S012,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250802000240,2025-08-02,S012,P002,Cafe Latte,Beverage,2,5200,1040,9360,Mobile Pay,Member
ORD20250802000241,2025-08-02,S012,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Guest
ORD20250802000242,2025-08-02,S012,P009,Tiramisu,Dessert,1,7200,720,6480,Mobile Pay,Member
ORD20250802000243,2025-08-02,S012,P002,Cafe Latte,Beverage,1,5200,0,5200,Mobile Pay,Member
ORD20250802000244,2025-08-02,S012,P006,Salt Bread,Bakery,1,3800,0,3800,Credit Card,Guest
ORD20250802000245,2025-08-02,S012,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Member
ORD20250802000246,2025-08-02,S012,P001,Americano,Beverage,2,4500,0,9000,Credit Card,Guest
ORD20250803000247,2025-08-03,S001,P003,Cold Brew,Beverage,1,5800,580,5220,Mobile Pay,Member
ORD20250803000248,2025-08-03,S001,P001,Americano,Beverage,1,4500,450,4050,Mobile Pay,Member
ORD20250803000249,2025-08-03,S001,P001,Americano,Beverage,1,4500,0,4500,Credit Card,Guest
ORD20250803000250,2025-08-03,S001,P006,Salt Bread,Bakery,1,3800,380,3420,Mobile Pay,Member
ORD20250803000251,2025-08-03,S001,P006,Salt Bread,Bakery,1,3800,0,3800,Mobile Pay,Member
ORD20250803000252,2025-08-03,S001,P005,Butter Croissant,Bakery,1,4200,0,4200,Mobile Pay,Member
ORD20250803000253,2025-08-03,S001,P007,Red Bean Bun,Bakery,1,3500,0,3500,Mobile Pay,Member
ORD20250803000254,2025-08-03,S001,P003,Cold Brew,Beverage,1,5800,0,5800,Credit Card,Guest
ORD20250803000255,2025-08-03,S001,P005,Butter Croissant,Bakery,1,4200,0,4200,Credit Card,Guest
ORD20250803000256,2025-08-03,S001,P005,Butter Croissant,Bakery,2,4200,0,8400,Mobile Pay,Guest
